Building Name,Building Code,Name,Old Unit No,Unit Type,PREMISES NO,Rental Status,Property Service Type,Price,Building Segment,Unit Segment,
AL MAMZER TOWER,F8,F8-403,403,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-403,
AL MAMZER TOWER,F8,F8-404,404,2BHK,,LEASED,Property Rental," 	40,000.00 ",AL MAMZER TOWER,F8-404,
AL MAMZER TOWER,F8,F8-405,405,2BHK,,LEASED,Property Rental," 	40,000.00 ",AL MAMZER TOWER,F8-405,
AL MAMZER TOWER,F8,F8-406,406,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-406,
AL MAMZER TOWER,F8,F8-407,407,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-407,
AL MAMZER TOWER,F8,F8-408,408,1BHK,,LEASED,Property Rental," 	28,000.00 ",AL MAMZER TOWER,F8-408,
AL MAMZER TOWER,F8,F8-501,501,1BHK,,LEASED,Property Rental," 	32,000.00 ",AL MAMZER TOWER,F8-501,
AL MAMZER TOWER,F8,F8-502,502,2BHK,,BOOKED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-502,
AL MAMZER TOWER,F8,F8-503,503,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-503,
AL MAMZER TOWER,F8,F8-504,504,2BHK,,LEASED,Property Rental," 	40,000.00 ",AL MAMZER TOWER,F8-504,
AL MAMZER TOWER,F8,F8-505,505,2BHK,,LEASED,Property Rental," 	40,000.00 ",AL MAMZER TOWER,F8-505,
AL MAMZER TOWER,F8,F8-506,506,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-506,
AL MAMZER TOWER,F8,F8-507,507,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-507,
AL MAMZER TOWER,F8,F8-508,508,1BHK,,LEASED,Property Rental," 	28,000.00 ",AL MAMZER TOWER,F8-508,
AL MAMZER TOWER,F8,F8-601,601,1BHK,,LEASED,Property Rental," 	32,000.00 ",AL MAMZER TOWER,F8-601,
AL MAMZER TOWER,F8,F8-602,602,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-602,
AL MAMZER TOWER,F8,F8-603,603,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-603,
AL MAMZER TOWER,F8,F8-604,604,2BHK,,LEASED,Property Rental," 	40,000.00 ",AL MAMZER TOWER,F8-604,
AL MAMZER TOWER,F8,F8-605,605,2BHK,,LEASED,Property Rental," 	40,000.00 ",AL MAMZER TOWER,F8-605,
AL MAMZER TOWER,F8,F8-606,606,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-606,
AL MAMZER TOWER,F8,F8-607,607,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-607,
AL MAMZER TOWER,F8,F8-608,608,1BHK,,LEASED,Property Rental," 	28,000.00 ",AL MAMZER TOWER,F8-608,
AL MAMZER TOWER,F8,F8-701,701,1BHK,,LEASED,Property Rental," 	32,000.00 ",AL MAMZER TOWER,F8-701,
AL MAMZER TOWER,F8,F8-702,702,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-702,
AL MAMZER TOWER,F8,F8-703,703,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-703,
AL MAMZER TOWER,F8,F8-704,704,2BHK,,LEASED,Property Rental," 	40,000.00 ",AL MAMZER TOWER,F8-704,
AL MAMZER TOWER,F8,F8-705,705,2BHK,,LEASED,Property Rental," 	40,000.00 ",AL MAMZER TOWER,F8-705,
AL MAMZER TOWER,F8,F8-706,706,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-706,
AL MAMZER TOWER,F8,F8-707,707,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-707,
AL MAMZER TOWER,F8,F8-708,708,1BHK,,LEASED,Property Rental," 	28,000.00 ",AL MAMZER TOWER,F8-708,
AL MAMZER TOWER,F8,F8-801,801,1BHK,,LEASED,Property Rental," 	32,000.00 ",AL MAMZER TOWER,F8-801,
AL MAMZER TOWER,F8,F8-802,802,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-802,
AL MAMZER TOWER,F8,F8-803,803,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-803,
AL MAMZER TOWER,F8,F8-804,804,2BHK,,LEASED,Property Rental," 	40,000.00 ",AL MAMZER TOWER,F8-804,
AL MAMZER TOWER,F8,F8-805,805,2BHK,,LEASED,Property Rental," 	40,000.00 ",AL MAMZER TOWER,F8-805,
AL MAMZER TOWER,F8,F8-806,806,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-806,
AL MAMZER TOWER,F8,F8-807,807,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-807,
AL MAMZER TOWER,F8,F8-808,808,1BHK,,LEASED,Property Rental," 	28,000.00 ",AL MAMZER TOWER,F8-808,
AL MAMZER TOWER,F8,F8-901,901,1BHK,,LEASED,Property Rental," 	32,000.00 ",AL MAMZER TOWER,F8-901,
AL MAMZER TOWER,F8,F8-902,902,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-902,
AL MAMZER TOWER,F8,F8-903,903,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-903,
AL MAMZER TOWER,F8,F8-904,904,2BHK,,LEASED,Property Rental," 	40,000.00 ",AL MAMZER TOWER,F8-904,
AL MAMZER TOWER,F8,F8-905,905,2BHK,,LEASED,Property Rental," 	40,000.00 ",AL MAMZER TOWER,F8-905,
